"entity_id","rapm","rapm_loess","rapm_blended","rapm_error","model_date","circuit","season","round","overall_round","dev_ratio"
"michael_schumacher-d",0.0461919747776819,0,0.0415727772999137,NA,2012-04-22,"bahrain",2012,4,873,NA
"petrov-d",0.189523180840387,0,0.170570862756348,NA,2012-04-22,"bahrain",2012,4,873,NA
"rosa-d",0.0972856773031296,0,0.0875571095728166,NA,2012-04-22,"bahrain",2012,4,873,NA
"grosjean-d",-0.144557834381995,0,-0.130102050943796,NA,2012-04-22,"bahrain",2012,4,873,NA
"maldonado-d",-0.0112400748682702,0,-0.0101160673814432,NA,2012-04-22,"bahrain",2012,4,873,NA
"ambrosio-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"bottas-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"chilton-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"garde-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"gutierrez-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"jules_bianchi-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"sutil-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"kevin_magnussen-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"kvyat-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"ericsson-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"stevens-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"nasr-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"sainz-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"max_verstappen-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"merhi-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"rossi-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"jolyon_palmer-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"wehrlein-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"haryanto-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"vandoorne-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"ocon-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
"giovinazzi-d",0,0,0,NA,2012-04-22,"bahrain",2012,4,873,NA
