"","entity_id","rapm","model_date","season","round","overall_round","circuit","dev_ratio","rapm_loess","rapm_blended","rapm_error","span_value","weight_value"
"182","rosa-d",0.0749639655509388,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.0693416681346184,0.0482343912298391,0.5,0.7
"183","grosjean-d",-0.0505191064663243,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.04673017348135,0.0387075453089753,0.5,0.7
"184","maldonado-d",-0.00893955273573113,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.0082690862805513,0.0112560493874465,0.5,0.7
"185","ambrosio-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"186","sutil-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"187","gutierrez-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"188","bottas-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"189","jules_bianchi-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"190","chilton-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"191","garde-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"192","kevin_magnussen-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"193","kvyat-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"194","ericsson-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"195","stevens-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"196","nasr-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"197","sainz-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"198","max_verstappen-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"199","merhi-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"200","rossi-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"201","jolyon_palmer-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"202","wehrlein-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"203","vandoorne-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
